frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-2.493999e+01
1;0.010000;-2.385908e+01
2;0.020000;-2.300923e+01
3;0.030000;-2.284101e+01
4;0.040000;-2.317490e+01
5;0.050000;-2.488870e+01
6;0.060000;-2.788443e+01
7;0.070000;-2.593852e+01
8;0.080000;-2.458859e+01
9;0.090000;-2.432908e+01
10;0.100000;-2.427351e+01
11;0.110000;-2.539952e+01
12;0.120000;-2.788443e+01
13;0.130000;-2.788443e+01
14;0.140000;-2.719128e+01
15;0.150000;-2.788443e+01
16;0.160000;-2.788443e+01
17;0.170000;-2.788443e+01
18;0.180000;-2.788443e+01
19;0.190000;-4.158871e+01
20;0.200000;-2.788443e+01
21;0.210000;-2.788443e+01
22;0.220000;-2.788443e+01
23;0.230000;-2.719128e+01
24;0.240000;-2.438792e+01
25;0.250000;-2.419555e+01
26;0.260000;-2.462634e+01
27;0.270000;-4.158871e+01
28;0.280000;-4.158871e+01
29;0.290000;-2.649814e+01
30;0.300000;-2.649814e+01
31;0.310000;-2.649814e+01
32;0.320000;-4.158871e+01
33;0.330000;-2.580499e+01
34;0.340000;-2.558185e+01
35;0.350000;-2.455223e+01
36;0.360000;-2.424685e+01
37;0.370000;-2.488870e+01
38;0.380000;-2.627499e+01
39;0.390000;-2.678582e+01
40;0.400000;-2.788443e+01
41;0.410000;-2.568721e+01
42;0.420000;-2.548654e+01
43;0.430000;-2.627499e+01
44;0.440000;-2.609267e+01
45;0.450000;-2.568721e+01
46;0.460000;-2.474894e+01
47;0.470000;-2.474894e+01
48;0.480000;-2.488870e+01
49;0.490000;-2.649814e+01
50;0.500000;-2.474894e+01
51;0.510000;-2.474894e+01
52;0.520000;-2.493999e+01
53;0.530000;-2.649814e+01
54;0.540000;-2.649814e+01
55;0.550000;-2.483991e+01
56;0.560000;-2.405579e+01
57;0.570000;-2.407777e+01
58;0.580000;-2.627499e+01
59;0.590000;-2.627499e+01
60;0.600000;-2.719128e+01
61;0.610000;-2.788443e+01
62;0.620000;-2.524537e+01
63;0.630000;-2.493999e+01
64;0.640000;-2.531948e+01
65;0.650000;-2.517638e+01
66;0.660000;-2.274277e+01
67;0.670000;-2.249080e+01
68;0.680000;-2.237504e+01
69;0.690000;-2.273114e+01
70;0.700000;-2.351498e+01
71;0.710000;-2.355370e+01
72;0.720000;-2.593852e+01
73;0.730000;-2.627499e+01
74;0.740000;-2.649814e+01
75;0.750000;-2.627499e+01
76;0.760000;-2.568721e+01
77;0.770000;-2.517638e+01
78;0.780000;-2.466556e+01
79;0.790000;-2.499406e+01
80;0.800000;-2.558185e+01
81;0.810000;-2.678582e+01
82;0.820000;-2.649814e+01
83;0.830000;-2.558185e+01
84;0.840000;-2.568721e+01
85;0.850000;-2.580499e+01
86;0.860000;-2.719128e+01
87;0.870000;-2.788443e+01
88;0.880000;-2.719128e+01
89;0.890000;-2.788443e+01
90;0.900000;-2.788443e+01
91;0.910000;-2.483991e+01
92;0.920000;-2.277849e+01
93;0.930000;-2.154055e+01
94;0.940000;-2.100199e+01
95;0.950000;-2.094615e+01
96;0.960000;-2.148750e+01
97;0.970000;-2.124325e+01
98;0.980000;-1.601269e+01
99;0.990000;-1.390923e+01
100;1.000000;-1.324551e+01
101;1.010000;-1.268865e+01
102;1.020000;-1.241512e+01
103;1.030000;-1.253560e+01
104;1.040000;-1.289197e+01
105;1.050000;-1.376557e+01
106;1.060000;-1.268325e+01
107;1.070000;-1.046597e+01
108;1.080000;-9.512432e+00
109;1.090000;-8.967620e+00
110;1.100000;-8.703810e+00
111;1.110000;-8.529349e+00
112;1.120000;-8.378929e+00
113;1.130000;-8.434430e+00
114;1.140000;-8.631945e+00
115;1.150000;-8.781327e+00
116;1.160000;-8.926372e+00
117;1.170000;-9.241496e+00
118;1.180000;-9.872603e+00
119;1.190000;-1.028801e+01
120;1.200000;-1.082652e+01
121;1.210000;-1.089527e+01
122;1.220000;-1.098819e+01
123;1.230000;-1.149280e+01
124;1.240000;-1.166889e+01
125;1.250000;-1.205151e+01
126;1.260000;-1.212571e+01
127;1.270000;-1.213490e+01
128;1.280000;-1.228399e+01
129;1.290000;-1.230451e+01
130;1.300000;-1.206587e+01
131;1.310000;-1.190552e+01
132;1.320000;-1.180303e+01
133;1.330000;-1.159356e+01
134;1.340000;-1.130532e+01
135;1.350000;-1.127618e+01
136;1.360000;-1.128675e+01
137;1.370000;-1.139571e+01
138;1.380000;-1.126307e+01
139;1.390000;-1.098502e+01
140;1.400000;-1.083495e+01
141;1.410000;-1.077590e+01
142;1.420000;-1.086352e+01
143;1.430000;-1.094417e+01
144;1.440000;-1.120505e+01
145;1.450000;-1.137279e+01
146;1.460000;-1.158892e+01
147;1.470000;-1.177776e+01
148;1.480000;-1.198532e+01
149;1.490000;-1.246751e+01
150;1.500000;-1.313787e+01
151;1.510000;-1.360357e+01
152;1.520000;-1.405157e+01
153;1.530000;-1.426231e+01
154;1.540000;-1.459153e+01
155;1.550000;-1.410549e+01
156;1.560000;-1.303750e+01
157;1.570000;-1.283520e+01
158;1.580000;-1.324359e+01
159;1.590000;-1.381679e+01
160;1.600000;-1.384011e+01
161;1.610000;-1.353587e+01
162;1.620000;-1.346408e+01
163;1.630000;-1.367499e+01
164;1.640000;-1.381557e+01
165;1.650000;-1.155615e+01
166;1.660000;-1.035505e+01
167;1.670000;-9.885330e+00
168;1.680000;-9.906465e+00
169;1.690000;-9.886904e+00
170;1.700000;-9.721637e+00
171;1.710000;-9.578967e+00
172;1.720000;-1.004442e+01
173;1.730000;-1.092605e+01
174;1.740000;-1.149002e+01
175;1.750000;-1.198453e+01
176;1.760000;-1.254420e+01
177;1.770000;-1.369089e+01
178;1.780000;-1.456076e+01
179;1.790000;-1.475205e+01
180;1.800000;-1.423622e+01
181;1.810000;-1.414600e+01
182;1.820000;-1.426696e+01
183;1.830000;-1.488487e+01
184;1.840000;-1.577868e+01
185;1.850000;-1.629453e+01
186;1.860000;-1.443937e+01
187;1.870000;-1.250121e+01
188;1.880000;-1.167755e+01
189;1.890000;-1.113349e+01
190;1.900000;-1.102307e+01
191;1.910000;-1.105860e+01
192;1.920000;-1.106569e+01
193;1.930000;-1.090549e+01
194;1.940000;-1.091854e+01
195;1.950000;-1.111560e+01
196;1.960000;-1.123773e+01
197;1.970000;-1.127442e+01
198;1.980000;-1.129236e+01
199;1.990000;-1.147890e+01
200;2.000000;-1.172282e+01
201;2.010000;-1.168049e+01
202;2.020000;-1.165833e+01
203;2.030000;-1.187377e+01
204;2.040000;-1.228868e+01
205;2.050000;-1.243319e+01
206;2.060000;-1.233478e+01
207;2.070000;-1.148900e+01
208;2.080000;-1.090479e+01
209;2.090000;-1.070220e+01
210;2.100000;-1.071264e+01
211;2.110000;-1.069193e+01
212;2.120000;-1.056622e+01
213;2.130000;-1.046931e+01
214;2.140000;-1.038144e+01
215;2.150000;-1.026782e+01
216;2.160000;-1.021153e+01
217;2.170000;-1.026337e+01
218;2.180000;-1.034712e+01
219;2.190000;-1.035541e+01
220;2.200000;-1.051284e+01
221;2.210000;-1.099390e+01
222;2.220000;-1.188656e+01
223;2.230000;-1.307874e+01
224;2.240000;-1.317391e+01
225;2.250000;-1.300298e+01
226;2.260000;-1.237669e+01
227;2.270000;-1.145359e+01
228;2.280000;-1.089682e+01
229;2.290000;-1.074300e+01
230;2.300000;-1.108258e+01
231;2.310000;-1.182325e+01
232;2.320000;-1.292972e+01
233;2.330000;-1.292191e+01
234;2.340000;-1.318781e+01
235;2.350000;-1.370061e+01
236;2.360000;-1.351701e+01
237;2.370000;-1.315617e+01
238;2.380000;-1.163596e+01
239;2.390000;-1.116298e+01
240;2.400000;-1.100421e+01
241;2.410000;-1.104375e+01
242;2.420000;-1.119762e+01
243;2.430000;-1.124063e+01
244;2.440000;-1.128659e+01
245;2.450000;-1.116816e+01
246;2.460000;-1.120060e+01
247;2.470000;-1.150169e+01
248;2.480000;-1.179646e+01
249;2.490000;-1.208707e+01
250;2.500000;-1.203517e+01
251;2.510000;-1.198162e+01
252;2.520000;-1.204040e+01
253;2.530000;-1.212483e+01
254;2.540000;-1.224845e+01
255;2.550000;-1.229761e+01
256;2.560000;-1.233914e+01
257;2.570000;-1.241663e+01
258;2.580000;-1.255724e+01
259;2.590000;-1.280076e+01
260;2.600000;-1.307905e+01
261;2.610000;-1.347250e+01
262;2.620000;-1.381216e+01
263;2.630000;-1.414635e+01
264;2.640000;-1.458247e+01
265;2.650000;-1.503258e+01
266;2.660000;-1.544413e+01
267;2.670000;-1.565908e+01
268;2.680000;-1.607803e+01
269;2.690000;-1.636953e+01
270;2.700000;-1.642768e+01
271;2.710000;-1.668849e+01
